resource_id,description
cmabdi29t0123zu0woelochpe,"Households can receive assistance twice per month.  Food and household assistance is based on 
availability. Open to Middlesex County residents and those in need by appointment for curbside 
pickup. Submit requests online (web address above), phone or text 732-629-8065."
cle8lr7lk0000mi0f2y44b0sk,cape may county
cmja5xwjc045nycefu3b5mjpr,"Food sites offer supplemental food and groceries.
Site details are subject to change. Before you go, contact the site to confirm their hours and services."
cmja5qb6m046rype8hn4g52v5,"General meal sites offer ready-to-eat meals.
Site details are subject to change. Before you go, contact the site to confirm their hours and services."
cmhj69vbj14ctzjecsbu51cpp,"We’re grateful for every opportunity to give back and bless families this holiday season.
Scan the QR code on the flyer to register — supplies are limited! 
https://www.facebook.com/photo?fbid=25010155228638936&set=a.343142605766874 flyer link"
cm58ohyrs010p3v0v6uhvyoj4,"* **Drive-through food pantry**
* Please use the drive way to the right of the church and follow it to the back of the building. The staff will place the groceries in your car."
cli4y1o1303mrvy02dcmk0axp,"Building 7, Enter through The Rear of JHOP Middle School

On-site registration required"
clhggrkmm0000kx0fie3cjaan,"Eligibility: Anyone.
Intake Process: Walk-in.
Documents: Photo ID for adults, proof of address and health card, Social Security card or birth certificates for each child.
10a – 12p every 4th Saturday, Jan. – Oct., 3rd Sat, Nov and Dec"
cleixes4e000fl50f6kurx07j,"Pre- registration is required to receive food. https://calendly.com/locfoodpantry/county-house?month=2021-04

Registration on website required"
clefl6ycp000mjm0g672zlx0a,Serves Burlington County.
cleej2t3i001amj0fv3atkpfq,"Eligibility is based on income and size of your family.	
 
 Please call 973-694-2890
 
 No specific hours and days, clients need to register through online process and will be informed every month"
ckypo0ifp366223yyp1brfdprd,"Once every 3 weeks, our guests can make an appointment to receive a box of non-perishable food, along with fresh produce, meat, dairy, and bread, as available.
Enter your login below to make a food appointment. Please be prepared with household member names, birthdates, gender, ethnicity, and income.

Call your local site (+12015292029 extension 4 for Mahwah/Ringwood) to complete registration and make an appointment over the phone.

Registration on website required"
cky4akp9t577003yuslcwe7ung,"Serves Pequannock Township residents

Eligibility: By referral only from town public health nurse, hospital, mental health center, church."
ckxz77tvb005104z65oxe6wwp,Must present proof of Phillipsburg residence
cmj03bwd603t6xcfk8zizsgz0,"This food pantry is only available to registered clients and requires a Medicaid ID. The schedule is confirmed for every third Wednesday of the month from 10:00 a.m. to 3:00 p.m. I spoke only with the receptionist, and she was not able to confirm what type of food they provide."
cmevlp70a01x7wugvgaj269ca,"**Eligibility**: Any DoD or Military ID card holder is eligible, this includes retirees. Visitors are asked to flash an ID at the entrance. No demographic information is required or requested, except on Capital Area Food Bank Mobile Market days (first Wednesday of the month) when they are asked how many members are in the household, ages of children, if there are veterans in the house, if anyone is on SNAP, etc."
clh0uiz490006mh0fix1869cj,"Client inquiry form https://matthewshelpcenter.org/services/client-inquiry-form/ 

Financial assistance program, which will help people meet life’s basic needs, such as funds for paying rent, utilities and/or medical bills, Temporary Housing, Clothing (via BackPorch Thrift Store – new and gently used items at low cost)
Average expense of each household bill
Proof of Emergency: Doctor’s disability statement, medical bills, eviction notice, disconnects notices, etc.
Rental/Homeowners information: Rent lease, landlord’s name and phone number, mortgage papers, late notices and eviction papers

State ID required

Registration on website required"
cleiuobff0000mf0fup0va8cn,"They evaluate the clients with paper work and home visit, income is checked and after evaluation they will get appointment to get the food.

Browns Mills, Medford, Medford Lakes, Pemberton residents only

On-site registration required"
cl0fmbjsl311063qt9qfxmtm67,"A home assessment is required for all clients who would like to be considered for the *subsidized meal program. Services are provided through the Bergen County Division of Senior Services at no charge for eligible clients.
 *This program provides one (1) hot meal, one milk, one juice, one piece of fruit and two slices of bread. The cost of any additional meals such as a cold sandwich will be the responsibility of the client. There is no required deposit once accepted into this program. 
 Serves Bergen County"
ckyr5910e41963ixt7vcjoj5y,Have to be  a Paramus resident.
ckxz77tvq007r04z6hcqmgdub,![](https://)
ckxz0r2mf747640rrkjhdxxn0,"* For anyone stopping by try and keep the area clean and tidy, and throw away trash in the dumpsters in the parking lot if they see any lying around.  
* Pantry + Community Fridge are open 24/7

Open 24/7! Free, outdoor community fridge/pantry operated by local volunteers."
cmgkdq38505rt022d84yui8us,"this coming friday they are closed but next friday will be open. they offer fruits, vagetables,snacks"
clo5u9h1r05ausa0fssndilv2,"Open 24/7! Free, outdoor community fridge/pantry operated by local volunteers."
clnfkh6bo00rzyh289i0boa40,people will start lining up as early as 7:00am
cle82fdkx03jc0d02d8m3i00g,https://www.facebook.com/GrovetonBaptist/
cle82f7qa037u0d0265n1vn8j,"Serves PG county residents. Bring ID and proof of residence.

On-site registration required"
cl556mp82444464gysu6dk2gke,Every month until December
ckyvclldl1330153kwatt5trj5h,Serves Warren County.
ckyojasxn1078623lynw5iuu72t,"Fall dates:  every Sunday through December 11 except Oct 9, Oct 16, and Nov 27.
Hands out sandwiches
Closed when University of Penn is not in session"
cky43kvlx557793yus4khgvb6h,Only serves surrounding neighborhood
947,This is a mobile pantry maybe it will be late due to the traffic please wait 15 min from the time of arrival
cmi4qzeay1edqt5ebljnm6d6t,Diapers on 3rd Tuesday
cmhknq6qh0d9810csvgrbxuxv,they do not have a set schedule so call ahead
cmh9b8ejv0ri7zsfkd2elu8s6,"Program Qualifications
To participate in our program, all applicants must meet the following requirements: Provide a Valid Photo ID Submit Proof of Residency (such as a utility bill, lease, or official mail) Complete the Required ACFB Registration Form Be 17 Years of Age or Older All information must be provided at the time of registration. Incomplete applications will not be accepted. Thank you for your cooperation and commitment to our community efforts.

Program Contact
 Quandra Zellner
470-269-1269
info@blesseddivasatl.com"
clvp9n2vu0ddalwcckt2lrmdp,"- Only serves Sayreville
- They do not offer any set schedule but require a call ahead to set up scheules on a need basis"
clvbcl64509o3el1jrubjijc1,"Requires ID for adults and birth certificates for children in the household

On-site registration required"
clhhzk5n20000la0fik7gfgzq,"Eligibility: Anyone.

ntake Process: Walk-in.

Documents: Valid Photo ID and proof of address. Verification of address is needed annually."
cle82fb1c03f00d022i9z9sfw,"* Serves: Shaw, Columbia Heights, Petworth and Adams-Morgan Senior Residents only
* To register to the program to: 202-487-8698 or email us at wearefamilydc@gmail.com
If you qualify, we will be glad to add you to the list for a regular monthly delivery of non-perishables and produce, or, if need be, provide an emergency delivery."
cldrfkjt20000mj0f21asrzx0,"(entrance door is on Proctor Street)

Will be given a Pantry ID upon registration

On-site registration required"
ckyzbi0sq2225263o1dkh7treas,8569830411
ckxz77tv3004504z61kggd83j,"The Pantry provides patrons with a grocery shopping experience, enabling them to choose the food and personal items they and their families need. This space provides the opportunity for patrons to sit inside. The Pantry asks all who come for assistance to arrive after 9am Monday to Saturday and after 5:30pm on Tuesdays and Thursdays, as lining up outside will not be permitted."
cmj3059o10v6mywebq80cy40j,"https://www.instagram.com/explore/locations/120888041260221/bethesda-memorial-baptist-church/

For more information, please call.

County or Counties Served: Kings"
cmiqy397f00u4zdcs87or5l4a,https://www.facebook.com/The-Gospel-Hill-Baptist-Church-Inc-242810272476757
cmhko3xk00qqh0ee9efzh0k8t,"Regular Program Hours
Thursday

4:00 PM - 5:00 PM

**Mobile food pantry is on Thursdays only and inconjunction with the Fulton County Schools Calendar. If school is closed, the food drive for that week is also closed. The food drive is located in the back of the school near the cafeteria."
cmdn5bkt10b4fzs0w9f8jaxdk,(Across the street from Humphries Elementary)
cljoojq1200rdks0h7mk53t38,See Facebook page for distribution dates: https://www.facebook.com/BarnegatFoodPantryAndThriftStore/
clikmhubo0lqsqm0h4enouguu,Must go to service first at 9:30 a.m. and worship at 10:45 a.m. and then will be given a meal ticket. No one is turned away.
clg7s2il90000mj0f2gsm4dzu,Contact: Jerry Wallace
clek9719f0000jx0f3qwoqx2p,Requires to call for hours. Serves Monmouth County.
cldohkky40000jy0fcoi1txvo,"The Cathedral offers additional services, including weekly masses, a microlibrary, meditation groups, and more. See the website for more information

Lunch is served every Monday Sproat Hall.

Clothes available once in a month program called ""city reach"" conducted by another church but same location"
cky24mnkz000d04tn2q7kfj2l,Food is 1.50 dollars
cmjyj4yr907ie0zfr1yfbenfn,"Provides free groceries. ID and proof
of address required.  Open 3rd
Tuesday 12-3 or by appointment.
Call 570-994-3075 for more
information"
cmj309q9400jazzfl4nxe026h,"To eat-in or take-out, you must call in advance to make a reservation.
Please call 2 days in advance: 718-748-0650
Bay  Ridge Center is proud to offer Meals on Wheels services to our community. Please contact Catholic Charities directly at 718-680-3530 in  order to initiate Meals on Wheels service.
LEARN MORE ABOUT OUR HOME DELIVERED MEALS PROGRAM: https://www.bayridgecenter.org/home-delivered-meals
The Home Delivered Meals Office will be closed, and there will be no meal deliveries on these holidays:

    Memorial Day
    Independence Day
    Labor Day
    Veterans Day
    Thanksgiving Holiday and the day after
    Christmas Observed
    New Years Day Observed
    Martin Luther King Jr. Day
    Presidents' Day
    Good Friday

If you have an appointment and will not be home to receive your meal, please notify the office to cancel your delivery for the day.  An answering machine is always on.  Kindly leave a message."
cmiepkgw8095fztf0vo367n8e,"Arrive 10–15 minutes early and bring sturdy, reusable bags to make loading easier."
cmi4mhosi1dwf41fjrax7tl73,"Only serves East Orange residents. Need to sign up. Distribution is every 3rd Friday of each month, 9 AM to 12 PM."
cmf2l5b1l009841edjhuteqqd,Parking lots do not open until 5 p.m.
cmc2883on00xg450v5qjuqewr,"H.U.G. is on Saturdays with a hot meal served at 2:00 p.m. Doors open at 1:00 p.m.

Community Living Room is on Wednesdays from 3 to 7 p.m., with a hot meal served around 5:15 p.m. Guests can also sign up for a hot shower, wash and dry a load of laundry, charge devices, and get free Wi-Fi and computer access. 

Look for the red door on 65th Street around the corner of Central Park West. If the door isn't open, ring the doorbell."
clubghpd90qujzm6sc4nmqftg,"Serving at Holiday Lake Estates Civic Center
Drive through hot breakfast served to all who come as long as food lasts"
clihkvic50cu2qm0hwg0cg9zr,BreakSpot Meals
cle82f45s030v0d02k86qke9h,"Serves Alexandria, Fairfax County residents

On-site registration required"
cla0040c9000bjo0f2wpgf76w,"Serves Seniors 62 and above, $1.50 for every meal"
cmlv0lclt07etuzfj5sk94y35,Appointment Hotline: (646) 596-1316
cmjyipo3s0fvv17ea28ax7si9,"Provides free groceries. Proof of
address and photo ID required  
Open 3rd Saturday 7:30-9:30am
Call 201-600-6557 for more
information."
cmjrc752q00a52ief5xve54nu,"Open Status: Open Another Day (Call to Confirm)
Note: TEFAP Available (See Requirements Below)
Please call this location to confirm the days/times they are open.
one must qualify to receive food at this location please call ahed to confirm qualifications

TEFAP Auto-Eligibility: SNAP, TANF, Medicaid 
TEFAP Income Requirements: DC TEFAP Income Requirements
Extenstions 234 or 219
**Wed: 10:00 AM to 4:00 PM; 1st and 3rd of the Month (Note: Closed for lunch from 12-1); By Appointment Only
Thu: 10:00 AM to 4:00 PM; 1st and 3rd of the Month (Note: Closed for lunch 12-1); By Appointment Only"
cmisynmd702523zfmuxwgr47z,**No hrs
cm45z1uub00hso1zntj281jhz,"Donations can be dropped off on: Tuesday, Thurday, or Friday from 9 am-12 pm."
clhhtqae90024ku0g4wqjh67b,"Linda Decker, Volunteer Coordinator"
cldou0vs20002la0fbi5xan5u,"We serve individuals and families located in Brookline, Needham, Waltham, Watertown, and Wellesley. In order to receive food, please visit https://www.centrestfoodpantry.org/get-groceries. 

If you are located in one of our service areas you are eligible to pick up food once a month. We are open every Tuesday and every 3rd Saturday of the month. Most of our Tuesday service is appointment only, you can make an appointment up to a week in advance here. If you are unable to make an appointment, you may pick up groceries between 3:30-5:00pm, while supplies last. If you or a member of your household are 65+, you may pick up groceries without an appointment during the first hour of our service, from 1:00pm-2:00pm. 

On your first visit, you must bring a recent (within the past 4 month) bill, lease or statement that shows your name and address.  You may also provide a recent document from the school system that shows your child's name.  If you are picking up for your family, you must provide the names and birthdays of all household members. When you arrive a volunteer will work with you to fill out the registration form.  

We are located at 11 Homer St, Newton, however we distribute food out of our side entrance on Furber Lane. If you are arriving by car, please pull into the line on Homer Street.  If you are walking to us, please go to the tent closest to Homer Street and a volunteer will come to meet you."
ckytwvcxe317543hvs8ckfro8h,On-site registration required
1232,State ID required
cmjbip9j607jkype83dpe25my,"opne Tuesday and wednesday , but will be closed next week because of the holiday."
cmj79pqfe08f348eevc0szlf7,"For more information, please call.

County or Counties Served: Kings"
cmit16xfj02p0voee8wionit2,**No hrs
cminhnure06i71cflkk7jbfzb,"REGISTER HERE:
👉 https://forms.gle/V64Sn72gNAMbP53c8"
cmi6h2wqt0fxa2kfji6q2ij5s,"It’s that time of year, a time to give back to our community. Sneaker Room’s annual Turkey Drive is here! If you or someone you know needs a turkey, please stop by this Thursday, November 20, 2025, at 4 PM to pick one up. Thanks to @adidasUS Cornerstone Family for always standing with the community, and to the amazing local businesses for joining in giving back."
cm462ivab00meco4mrz4zvj9q,Serves Belmont residents only
cm3omrhsd00ky92eclorrg81i,"deliver to Home bound disabled 60+ age 
call to get registered"
cliwrzmzq09xcqw0ghekq2o4a,Our clients do not come in the building. They pull up in the first driveway connected fo the larger parking lot. We come out to meet and service them at their car.
clg8e01j40000me0fzhrnoujg,"To qualify for meal services, applicants must be:
* 60 years and older
* MOWA currently serves Buckhead, East Point, Hapeville, and the City of Atlanta.If in need of assistance, complete online form: https://www.mowatl.org/getmeals or call. Pantry items also available.
* Low-income"
clg5oq2ez000ol60f239o3sv4,* Will be asked if clients can provide $10 donation.
clg4yiknc000ol70fa3kwivlh,Contact: Kathy Duvall
clejma187000ymr0fma5gsh8x,"welcome to the Try-county Community Food Pantry.   we provide groceries along with a protein. we try to give fresh eggs out every month. we will also pray and provides spiritual support to anyone interested.
we have hot coffee, hot tea, and sometimes hot chocolate while you wait."
clei3l9gd0012lf0f9zvoep6v,On-site registration required
cle8qfiub001ul50fhyi1m786,On-site registration required
cle82fodh04320d02nbf1kh0k,"Clothes upon availability.

Closed when the holidays fall on 2nd and 4th Monday."
240,You can make an appointment here: https://cunyschooloflawfoodpantry.setmore.com/
1118,Call +1 (718) 227-2485 to make an appointment
cm797qd5z11do060ufu04liwc,"They help with laundry, hygiene"
clvay5d2u07t399oaewl5ova6,"Membership is Free, you must be 60 years old or older 
Hours of Operation: Monday -Friday 8:00 am-4:00 pm
Breakfast is served every day from 8:30 am- 10:00 am for a Voluntary contribution of $1.25 
Lunch is served every day from 11:30am pm- 1:00 pm for a Voluntary contribution of $1.75"
clonfccyy00oqli0gzt6yaydd,"Fridge is located in the building 
Fridge filled with 100 meals every morning 

Open 24/7! Free, outdoor community fridge/pantry operated by local volunteers."
ckytp2xg3186873hvshpcq0lj5,Must show a New Jersey photo ID
cmj78iuxy00cc2qehkgx8u3uq,"Fax Number: (917) 639-2520

For more information, please call.

County or Counties Served: Kings"
cma7rcfxz0088tx2so1rhd0nq,"There is no income requirement for food pantry services. All are welcome. Everything is free. Please bring personal identification with you and proof of household size if you have it.

CHASI is using Plentiful to improve your service and to make it easier for you to find other pantries to meet your needs. Text the word “FOOD” to PANTRY (726-879) from any phone to get the Plentiful app, or bring your ID and we’ll help you connect!"
cllx9t4lf048i164unht42uzj,"Starting July 2023, the program transitioned from hot meals every Tuesday evening to a grocery package that includes 7 to 10lbs. of frozen proteins and 12 to 15lb. of fresh fruits and vegetables. This now takes place once a month on Tuesdays.

The following dates for the rest of the year are **September 26th,  October 31st, November 21st, December 19th 2023**. The distribution will begin at 5:00pm and end at 6:15pm."
cliwutvhj0a0zmg0h4zylg45f,"Open to anyone 60 years old or older and their spouses (regardless of age), any county resident with a disability whose primary caregiver is a program participant, anyone volunteering in the program, and the personal care aides of program participants (when they accompany a participant to the site where meals are provided). This program encourages participants to make a suggested donation of $1 for their daily meal. Participants must register for the program by calling 609-989-6650. Transportation can be made available, anyone interested can contact the program for details."
clikwd81r0njhqm0ht9yy1clb,"* Our Social Services Specialist will assist you with the completion and filing of the following applications on Access Florida:
	* Medicaid
	* Food Stamps
	* Cash Assistance
	

* Please bring the following items to your appointment:
	* Case # (if available)
	* Check Stubs (last 4 weeks)
	* SSNs for the entire family
	* Utility bills
	* Rent/Mortgage statements
	* Daycare expenses (need address, phone and amount paid)
	
 
* We stay with you all the way!
	* Pending Medicaid approval, we help you choose your healthcare plan and/or assist with provider changes
	* We help you manage your MyAccess Account
	* We follow up on EBT (food stamps) accounts/lost cards or not received
	* Help enroll your newborn baby into Medicaid
	* Schedule appointments for the WIC Program (Be sure to bring: Proof of Income; Picture Id; SSN; Immunization
	* Record to your appointment)"
cli5t5ygp075nlt0gdmm61ele,"Please call (727)391-0596 to register on the food delivery. We deliver to people in need within the area of the church (St. Pete, Pinellas, and Largo)."
cleio7a7i0003mn0f608plmss,"Rowan students & staff; no income restriction; non-perish., perish. & hygiene products; once a wk"
clefv49vm000eml0fiojrbd6e,Tuesday by appointment only
cle82fwu904k30d020xb81tkw,"How to book an appointment: The client leaves a voicemail message. A food pantry volunteer returns the call within a week or two of the next scheduled distribution. 

On-site registration required"
cldo28kmx0230z304xxbt6d9s,https://welsh.philasd.org/
cmlfcozb20dnsyneftr7iu5b2,We are here every Friday and we only give one bag per family. *PLEASE READ* Ticket distribution starts at 7:00 AM Food Distribution is from 9:00 AM- 12:00 PM (or until done)
cmj1kwoco08maxcfkqs3p4ksp,"* There's no specific day of distribution, must check their [Facebook](https://www.facebook.com/WoodsideontheMove) for update.
* First-come, first-served basis. Please bring a cart/bag."
cmiszs39o02hszxed07g7vg49,**No hrs
cmif3hi300bmnztf01d2449db,"Arrive 10–15 minutes early and bring sturdy, reusable bags to make loading easier.
Feeding Westchester’s fleet delivers directly to community centers, schools, and other central locations. Each stop follows a simple first-come, first-served model; no ID or appointment required. Volunteers will greet you, explain how the line moves, and help carry items if needed."
cmi6guk7d0wxe03cxhf268tj1,We are excited to announce our Food Distribution where we come together as a community to make a positive impact on the lives of those facing food insecurity. Donations are also welcomed.
cmhur22jx0hz8wocoqdwaw7iu,"https://www.instagram.com/strangershelpingstrangers1/

https://www.facebook.com/groups/528729531401036/"
cmhc457im0551x5e9xdbtt3c4,"**No hrs

Location Operating Hours
Tuesday

2:00 PM - 4:00 PM

4th Tue of the Month

Upcoming: 11/25, 12/23, and 1/27"
cmg8gltui03fpygfndislnxyd,By appointment only. Please call 813-960-1848
cllqlu5ch00ehnm0ip1kyof6q,"Detroit's Bread of Life is a community Food Pantry (future base kitchen 2013) serving the residents of Detroit's lower eastside.

They provide weekly community dinner on Sundays 12:30 PM at St. Charles Borremeo Church 1491 Baldwin Detroit, MI 48214."
clhhq1j3w000uml0ff2pefrcl,"Wendy Tarr: 614-810-8275.

Days and times that volunteers are needed are individualized. Volunteers can pick their own hours."
clglssbvo02tz1nvrvz1po41a,"FRESH PRODUCE: Provides free produce and other food to those in need. The food is often rescued from markets, restaurants, or other organizations, to decrease waste and to help communities experiencing food insecurity. Distribution occurs at various locations throughout the city.For an updated and comprehensive list of participating sites and their giveaway times, visit the website: https://www.foodrescuebaltimore.org
People are encouraged to bring their own bags and select what items they want.For last minute notifications including supplies or weather-related cancellations, visit https://www.facebook.com/foodrescueday/"
clecdqcw70025lf0fg8s0zj6y,Call for hours.
cldp4d3nv000tmj0f0wvn2muk,"They provide general case assistance as well 

On-site registration required"
ckypfar6c128193yypqe27yprb,"ALL PANTRIES, MOBILE PANTRIES AND FOOD PHARMACIES, HOME DELIVERIES, FOOD SHARES, MAIN OFFICE AND WAREHOUSE WILL BE CLOSED Saturday January 13, 2024 and Monday January 15, 2024 in observance of Martin Luther King, Jr. Day."
cky24mnkz000b04tncftdaajg,"serves 60+

On-site registration required"
cmke869dr0333v2fi1w9yccyu,"Join EmblemHealth Neighborhood Care as we celebrate the importance of healthy nutrition! Join us for a variety of free food, including a selection of fresh fruits, seasonal vegetables, and non-perishable items. ""Pick up person must match name on event registration"". Registration is required. at https://events.blackthorn.io/en/1Im19n6/g/n6HjYw3gkW/food-distribution-4a9nHp4ZTQ/overview

Brought to you by EmblemHealth Neighborhood Care.

This event is free and open to the public.

*Free while supplies last; no obligation to enroll.

Please plan to arrive 10 minutes prior to the beginning of class."
cmhpgqgg300bpzxfprk2igh3p,"FOR ANYONE ON SNAP, JERSEY CITY IS OFFERING FREE PACKAGED MEALS UP TO 4 MEALS FOR FAMILY OF 4 FIRST COME, FIRST SERVE
SPECIAL SNAP MEAL
ΜΟΝ. 11-10-25 12PM-2PM
Look for Ruby, the HHS bus Universal Full Gospel Church 177 MLK Drive, JC 07305"
cmh1yvcmw05oq13e8rxtoerdi,"Service Description: Provides emergency food
assistance, including a three-day supply of food and
free daily produce. Donated diapers are available
while supplies last and must be picked up with a food
box.
Eligibility: Must be a resident of zip codes 43222,
43223 or 43215 (west of the river). Individuals are
eligible to receive food once every month.
Intake Process: Telephone. Walk-in.
Documents: Photo ID and a piece of mail to verify
residency.
Notes: Delivers to homebound, seniors or disabled
individuals. Must call (614) 228-2498 to schedule."
cma2ltnyb00ph030vuywqxnz8,"For more information or to register to attend a Community Cafe near you, please call 617-477-6688 or email ethosmeals@ethocare.org"
clv5obzf800hljn1m1vxxjfdx,Please check the Facebook page for any updates on the schedule.
clr7wukqn07t5n7hjd1ls228m,Only closed when the school is closed
clph6ig7304bsvk3kbg4k868r,Call (856) 294-7822 to inquire availability of food. Emergency food available on an as-needed basis
clnnkymxp0193s50fhjhvqkb2,"Open 24/7! Free, outdoor community fridge/pantry operated by local volunteers."
cliuuo9zr02j2mg0hdcf9rj3s,"We carry non-perishable items and are available by appointment. Please call 267-261-8672 to set up a time. 
The Little Free Pantry is open to all 24/7. Take what you need, give what you can! 
Located in our Church parking lot, look for the Yellow Box!"
clitf2lh000epqw0fcyfvpdof,"Provides mental health, substance abuse, and psychotherapy. They focus on a range of issues including addiction, depression, LGBT+ issues, anxiety, PTSD, and more. The cost per session depends on annual income."
cleu919u00000me0fq3f5xdz0,"We can help you provide nutritious meals for your family. SNAP, formerly Food Stamps, provides nutritious meals to low-income families. To apply or for more information, call our Service Representative at (609) 518-4839 or (800) 342-0047 ext. 4839."
clejmlp36001nmr0faclcun93,"Contact: Connie Thompson

Must bring proof of income and bills or government assistance to determine eligibility and photo id upon registration on the location.

On-site registration required"
cle64php501d520022qwcwd3n,"We distribute food every 3rd Friday & Saturday of the month. If the month comes in on a Saturday, then it would be technically the 2nd Friday of the month, but 3rd Saturday of the month."
ckydbiy0t2608883nw6jo8xaw47,2123 NORTH GRATZ STREET
ckxz77tvb005804z6dmtp4nxc,"You must renew your household information to receive ongoing Food Pantry, Clothing Closet merchandise, and to be eligible for holiday events.

You need to bring:

Photo Id – Primary Participant (Green Card or Passport)
Social Security Card
Birth Certificate or Proof of Date of Birth
Proof of Income
Proof of Residency (Lease)
Names of all household members
Social Security Cards of all household members
Birth Certificate or Proof of Date of Birth of all household members"
cmiszqp2p02xeywebl195shp6,**No hrs
cmisycyu0026p5agx9nn8rm5x,"Deeper Life Bible Church runs a soup kitchen and provides outreach, offering ready-to-eat meals and limited clothing. Photo ID is preferred for service."
cmhw3qduq0brj0jeah1u33fsw,Lexington ave between 124th and 125th
cm5a9yh5f013hx30wlsgg25jy,"For delivery to housebound elders or people with disabilities, call or text (347) 289-7991
In the month of November and December Distribution will be on 1st and 3rd Thursday of th month"
clwgkog1o00frb6xue0seol16,There is no income requirement for food pantry services. All are welcome. Everything is free. Please bring personal identification with you and proof of household size if you have it.
cline32rc04kqlc0fu7ua5ni7,"Seniors

Contact: Sally Leete

Notes: Training opportunities for seniors that benefit non-profits."
cle64qz2y02g92002ji10k3vf,- Call ahead +1 (732) 747-0813(ext 108)
cle64objx00gs200207soe2lr,Our schedule varies when we don't get the trucks due to a holiday or other situations beyond our control.   The public can always call 856-430-9001 with their questions about the food pantry.
cl8n4c22u000jmj0g4kamcpjv,"Open 24/7! Free, outdoor community fridge/pantry operated by local volunteers.

For more info: fooddistribution@uccnewark.org"
ckytpgg52189353hvs2n7mkqu7,"We are open the last Saturday of each month
and the following Monday. Changes to the
schedule marked with asterisks ****

* January 27th and 29th
* March 23 & 25th ****
* April 27 & 29th
* May 18th & 20th ****
* June 29th and July 1st
* July 26th and 29th
* August 24 and 26th ****
* Sept 28th and 30th
* October 26th and 30th
* November 23 and 25th ****
* December 13th and 15th ****"
cmja2fvf90bbd1sfnqfbz7sow,"The food bank is open every Tuesday at 9 AM. The food pantry is open Tuesday and Thursday from 11 AM to 3 PM, but you can come early. The only requirement is to sign a form.

On-site registration required"
cmj7dc7ja08ql07ee2i1662nl,"https://www.facebook.com/TrueHolyChurch
https://www.twitter.com/trueholychurch

For more information, please call.


County or Counties Served: Kings"
cmed4tnfb00yz2bfrvfrhbodc,Program ends on 28th October 2025
cm9h864vi00xvvr0v61l73lqt,"Are you in need of immediate assistance? Call us at 1.844.705.0004 9:00am - 5:00pm, Monday - Friday"
clrrxpdxr3mqakswqr3yn577n,Anyone needing resources at this location is requested to call ahead at (586) 777-6300 x 108
clg9dkwq9000qjm0fczx2voc0,Serves Elkridge residents only
cm9hfycst02i7420vfpidlw9p,"11 a.m. - 4 p.m. starting July 10th, 2025"
cm84uop7n01nuxp0wq7264edx,Must be a resident of Buena Vista township
cm2c4gbtt06wy6aov2nocm342,"Open 24/7! Free, outdoor community fridge/pantry operated by local volunteers."
clr80hkyf0a8mn7hj7qlnjdgm,"https://www.facebook.com/HigherCallingMinistries/

On-site registration required"
clonbx4dc004fli0glm1x2wga,"The best way to contact the program is through text message at 586-267-0212.  It may take 2-4 weeks for a return call due to high volume.

We currently deliver a monthly package of groceries to seniors in most areas of Oakland, Wayne, and Macomb county. We also offer incontinence and hygiene products upon request. We have some durable medical equipment available for current clients. 

Requirements: Must be over the age of 50 and low income or 18 and above with a major disability that makes accessing food difficult."
clh1qjrim000glg0f3wc1xc2l,"Previously ""Loaves & Fishes/Friendship Trays"". New name. Same mission.

This is an emergency food pantry that requires a referral. 

**How To Get A Referral:**
To get a referral please have the following information ready for each person in the household:
▪ First and Last Name
▪ Date of Birth
▪ Phone Number (if available)
▪ Current Address
▪ Gender
▪ Ethnicity
▪ Veteran Status (Y or N)
▪ Receiving Food Stamps/SNAP (Y or N)
▪ Household Income**
▪ Disability (Y or N)
▪ Email Address (if available)
▪ Date of Pick Up
▪ Preferred Pantry Location and secondary location in case the primary location is at capacity.

To access pop-up food shares for excess fresh items, no referral, ID or financial documents are required. Pre-registration is required to ensure there is enough food. Follow this link to see locations and register:  https://nourishup.org/foodshare/

Visit our website at https://nourishup.org/pantries/ under the food pantries tab for all of our location and hours."
clh1fuqvr0018mp0fe536wiy0,Not open to the general  public
clex0ayfy0000m90fj7pe5031,Date changes each month
cle82fvxg04i50d02dvwmnlcu,On-site registration required
cmj3bhu9800uywgfkx0ow9xqj,"FREE FOOD, MUSIC, ART, GAMES, A PHOTO WITH SANTA, AND A GIFT!
Each child must be present to receive a gift.
One gift per child while supplies last."
cmh2823rp00rf1geogrsgj52j,"1ST & 3RD WED , 4-5pm,"
clj30i6io06i9pn0gnfwdp064,Call (732) 828-0020 in advance to request food.
clgqrkywr004mmm0f6lqgbe7m,"Household items available.

https://www.facebook.com/HeritageCommChurch/"
clgg4q71y0000mg0flamocn19,Service Provided: Shelter and Drug & Alcohol Rehab.
clf5svmrd001cjo0fd3i3pj7q,"Once a month, The FRC offers diapers and wipes. Call in advance to complete an intake with them."
cle7gz72z002qjw0fon4xqykm,"- Hillsborough Township Municipal Complex
- Requires a lease or morguage statement to proof address.


On-site registration required"
cle64r8ar02mo20026hyhqhrt,"- By appointments only and to book appointments call (7326087706).
- Open to New Jersey residents.
- They offer household supplies. 
- Code Blue Shelter & Counseling Services are available as well."
cldnktg9o0000k30fx4exqbrk,"- You are advised to bring a cart to carry the produce offered as it may be heavy.
- Elderly assistance is advised
- You may inquire more on other services offered in their organisation on site."
